groupname,author,text,time
"Last Knife","Last Knife","Sep 13, 2018, 7:49 PM","You opened this conversation by playing Last Knife."
"Last Knife","Last Knife","Sep 13, 2018, 7:49 PM","Last Knife: 😋💥Thanks for playing!💥😋"
"Last Knife","Last Knife","Sep 14, 2018, 9:06 PM","Last Knife: Hey,Hamish Free apples are available for you. Hurry up and collect them to buy f..."
"Last Knife","Last Knife","Sep 15, 2018, 9:06 PM","Last Knife: Hey,Hamish Free apples are available for you. Hurry up and collect them to buy f..."
"Last Knife","Last Knife","Sep 16, 2018, 3:22 PM","Last Knife: 😋💥Thanks for playing!💥😋"
"Last Knife","Last Knife","Sep 17, 2018, 1:50 PM","Last Knife: 😋💥Thanks for playing!💥😋"
"Last Knife","Last Knife","Sep 18, 2018, 1:06 PM","Last Knife: Hey,Hamish Free apples are available for you. Hurry up and collect them to buy f..."
"Last Knife","Last Knife","Sep 19, 2018, 7:30 PM","Last Knife: 🤷‍♂️How lonely the invincible is！🤷‍♂️"
"Last Knife","Last Knife","Sep 20, 2018, 9:06 PM","Last Knife: Hey,Hamish Free apples are available for you. Hurry up and collect them to buy f..."
"Last Knife","Last Knife","Sep 21, 2018, 9:06 PM","Last Knife: Hey,Hamish Free apples are available for you. Hurry up and collect them to buy f..."
"Last Knife","Last Knife","Sep 22, 2018, 5:38 PM","Last Knife: 😋💥Thanks for playing!💥😋"
"Last Knife","Last Knife","Sep 23, 2018, 5:06 PM","Last Knife: Hey,Hamish Free apples are available for you. Hurry up and collect them to buy f..."
"Last Knife","Last Knife","Sep 24, 2018, 6:33 PM","Last Knife: 🤷‍♂️How lonely the invincible is！🤷‍♂️"
"Last Knife","Last Knife","Sep 25, 2018, 6:29 PM","Last Knife: New knife : AK-47。It may appear at stage 20."
"Last Knife","Last Knife","Sep 26, 2018, 6:28 PM","Last Knife: Do you want to try the duel mode?"
"Last Knife","Last Knife","Nov 17, 2018, 9:29 PM","Last Knife: 😋💥Thanks for playing!💥😋"
"Last Knife","Last Knife","Nov 18, 2018, 5:10 PM","Last Knife: 😋💥Thanks for playing!💥😋"
"Last Knife","Last Knife","Nov 18, 2018, 9:05 PM","Last Knife: Hey,Hamish Free turntable are available for you. Defeat BOSS and collect apples！"
"Last Knife","Last Knife","Nov 20, 2018, 5:35 PM","Last Knife: 🤷‍♂️How lonely the invincible is！🤷‍♂️"
"Last Knife","Last Knife","Nov 21, 2018, 5:36 PM","Last Knife: New knife : AK-47。It may appear at stage 20."
"Last Knife","Last Knife","Nov 22, 2018, 5:18 PM","Last Knife: Do you want to try the duel mode?"
"Last Knife","Last Knife","Dec 3, 2018, 9:02 PM","Last Knife: 😋💥Thanks for playing!💥😋"
"Last Knife","Last Knife","Dec 5, 2018, 9:10 PM","Last Knife: 🤷‍♂️How lonely the invincible is！🤷‍♂️"
"Last Knife","Last Knife","Dec 6, 2018, 9:10 PM","Last Knife: New knife : AK-47。It may appear at stage 20."
"Last Knife","Last Knife","Dec 7, 2018, 9:09 PM","Last Knife: Do you want to try the duel mode?"
"Last Knife","Last Knife","Dec 16, 2018, 5:18 PM","Last Knife: 😋💥Thanks for playing!💥😋"
"Last Knife","Last Knife","Dec 18, 2018, 6:09 PM","Last Knife: 🤷‍♂️How lonely the invincible is！🤷‍♂️"
"Last Knife","Last Knife","Dec 19, 2018, 6:09 PM","Last Knife: New knife : AK-47。It may appear at stage 20."
"Last Knife","Last Knife","Dec 20, 2018, 6:10 PM","Last Knife: Do you want to try the duel mode?"
